agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
235,1,2,1,2,422.64,1,1,1,10.00,2,5,12,
236,1,2,1,2,422.65,1,1,1,1.00,1,0,12,
237,1,2,1,2,422.66,3,3,1,60.00,4,5,12,
238,1,2,1,2,422.66,2,2,1,30.00,1,15,12,
239,1,2,1,2,422.67,1,1,1,30.00,1,10,12,
240,1,2,1,2,422.68,1,1,1,10.00,1,5,12,
241,1,2,1,2,422.69,1,1,1,30.00,2,5,12,
242,1,2,1,2,422.70,1,1,1,60.00,2,5,12,
243,1,2,1,2,422.72,1,1,1,10.00,1,10,12,
244,1,2,1,2,422.73,1,1,1,10.00,2,5,12,
245,1,2,1,2,422.74,1,1,1,10.00,1,5,12,
246,1,2,1,2,422.75,1,1,1,10.00,1,10,12,
247,1,2,1,2,422.77,1,1,1,20.00,1,5,12,
248,1,2,1,2,422.78,1,1,1,15.00,1,5,12,
249,1,2,1,2,422.79,1,1,1,10.00,2,15,12,
250,1,2,1,2,422.80,1,1,1,20.00,1,5,12,
251,1,2,1,2,422.81,1,1,1,10.00,1,5,12,
252,1,2,1,2,422.83,1,1,1,40.00,1,15,12,
253,1,2,1,2,422.84,1,1,1,20.00,1,5,12,
254,1,2,1,2,422.85,1,1,1,15.00,1,5,12,
255,1,2,1,2,422.86,1,1,1,20.00,1,5,12,
256,1,2,1,2,422.88,1,1,1,20.00,1,5,12,
257,1,2,1,2,422.88,2,2,1,10.00,1,5,12,
258,1,2,1,2,422.88,3,3,1,20.00,5,5,12,
259,1,2,1,2,422.89,1,1,1,5.00,1,10,12,
260,1,2,1,2,422.90,1,1,1,10.00,1,15,12,
261,1,2,1,2,422.91,1,1,1,1.00,1,10,12,
262,1,2,1,2,422.93,1,1,1,10.00,1,5,12,
263,1,2,1,2,422.94,1,1,1,10.00,2,5,12,
264,1,2,1,2,422.95,1,1,1,30.00,1,5,12,
265,1,2,1,2,422.96,1,1,1,10.00,1,5,12,
266,1,2,1,2,422.98,1,1,1,20.00,1,5,12,
267,1,2,1,2,422.99,1,1,1,5.00,1,5,12,
268,1,2,1,2,423.00,1,1,1,1.00,1,10,12,
269,1,2,1,2,423.01,1,1,1,20.00,1,15,12,
270,1,2,1,2,423.02,1,1,1,5.00,1,10,12,
271,1,2,1,2,423.04,1,1,1,5.00,1,5,12,
272,1,2,1,2,423.05,1,1,1,15.00,1,5,12,
273,1,2,1,2,423.06,1,1,1,10.00,1,15,12,
274,1,2,1,2,423.07,1,1,1,1.00,1,5,12,
275,1,2,1,2,423.09,1,1,1,30.00,1,10,12,
276,1,2,1,2,423.10,1,1,1,60.00,1,5,12,
277,1,2,1,2,423.11,2,2,1,20.00,1,5,12,
278,1,2,1,2,423.11,3,3,1,30.00,3,5,12,
279,1,2,1,2,423.11,1,1,1,20.00,1,15,12,
280,1,2,1,2,423.12,1,1,1,10.00,1,10,12,
281,1,2,1,2,423.14,1,1,1,15.00,1,10,12,
282,1,2,1,2,423.15,1,1,1,5.00,1,15,12,
283,1,2,1,2,423.16,1,1,1,10.00,1,15,12,
284,1,2,1,2,423.17,1,1,1,5.00,1,10,12,
285,1,2,1,2,423.18,1,1,1,10.00,1,15,12,
286,1,2,1,2,423.20,1,1,1,30.00,1,10,12,
287,1,2,1,2,423.21,1,1,1,30.00,1,5,12,
288,1,2,1,2,423.22,1,1,1,10.00,1,5,12,
289,1,2,1,2,423.23,1,1,1,15.00,2,10,12,
290,1,2,1,2,423.25,1,1,1,60.00,2,15,12,
291,1,2,1,2,423.26,1,1,1,60.00,1,5,12,
292,1,2,1,2,423.27,1,1,1,15.00,1,5,12,
293,1,2,1,2,423.28,1,1,1,5.00,1,10,12,
294,1,2,1,2,423.30,1,1,1,60.00,1,5,12,
295,1,2,1,2,423.31,1,1,1,1.00,1,15,12,
296,1,2,1,2,423.32,1,1,1,10.00,1,5,12,
297,1,2,1,2,423.33,2,2,1,20.00,1,5,12,
298,1,2,1,2,423.33,3,3,1,20.00,3,15,12,
299,1,2,1,2,423.33,1,1,1,30.00,1,5,12,
300,1,2,1,2,423.35,1,1,1,10.00,1,10,12,
301,1,2,1,2,423.36,1,1,1,10.00,1,15,12,
302,1,2,1,2,423.37,1,1,1,30.00,1,15,12,
303,1,2,1,2,423.38,1,1,1,10.00,1,5,12,
304,1,2,1,2,423.39,1,1,1,10.00,1,10,12,
305,1,2,1,2,423.41,1,1,1,10.00,1,5,12,
306,1,2,1,2,423.42,1,1,1,30.00,2,5,12,
307,1,2,1,2,423.43,1,1,1,10.00,1,5,12,
308,1,2,1,2,423.44,1,1,1,30.00,2,10,12,
309,1,2,1,2,423.46,1,1,1,15.00,1,5,12,
310,1,2,1,2,423.47,1,1,1,5.00,1,5,12,
311,1,2,1,2,423.48,1,1,1,5.00,1,0,12,
312,1,2,1,2,423.49,1,1,1,5.00,1,5,12,
313,1,2,1,2,423.51,1,1,1,5.00,2,10,12,
314,1,2,1,2,423.52,1,1,1,1.00,1,5,12,
315,1,2,1,2,423.53,1,1,1,20.00,1,10,12,
316,1,2,1,2,423.54,1,1,1,10.00,1,10,12,
317,1,2,1,2,423.55,2,2,1,30.00,1,5,12,
318,1,2,1,2,423.55,3,3,1,30.00,5,15,12,
319,1,2,1,2,423.56,1,1,1,5.00,1,15,12,
320,1,2,1,2,423.57,1,1,1,15.00,1,0,12,
321,1,2,1,2,423.58,1,1,1,30.00,1,10,12,
322,1,2,1,2,423.59,1,1,1,30.00,1,5,12,
323,1,2,1,2,423.60,1,1,1,1.00,1,10,12,
324,1,2,1,2,423.62,1,1,1,10.00,2,0,12,
325,1,2,1,2,423.63,1,1,1,30.00,2,5,12,
326,1,2,1,2,423.64,1,1,1,15.00,1,15,12,
327,1,2,1,2,423.65,1,1,1,15.00,1,5,12,
328,1,2,1,2,423.67,1,1,1,10.00,1,10,12,
329,1,2,1,2,423.68,1,1,1,1.00,1,5,12,
330,1,2,1,2,423.69,1,1,1,10.00,1,10,12,
